Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (0.25 year),Jobs - Junior (0.25 year),Avg. Salary - Junior (0.25 year),Chance of Hire - Junior (0.25 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years)
LAMP,722.0410551842541,58,114696.55172413793,0.18486872656634257,175.3712421936486,319,106447.02194357367,0.21640202226606067,1.6764392765402196,98,60485.204081632655,0.013765493748305045,1.6764392765402196,98,60485.204081632655,0.013765493748305045,
Swift,2536.334235772718,412,134308.98058252427,0.17841718620825778,629.1896076848953,1113,102228.2120395328,0.2094798064270448,9.098406103037872,391,86995.5242966752,0.0130187966234868,9.098406103037872,391,86995.5242966752,0.0130187966234868,
Scala,3881.7534677296917,699,127156.08011444921,0.16574479187234428,860.5045128207931,1582,110549.93678887484,0.19579661018807012,9.531021007716248,342,116520.4678362573,0.011641000112611424,9.531021007716248,342,116520.4678362573,0.011641000112611424,
Matlab,1028.895398549043,155,103713.54838709677,0.16391389332734718,239.67553631362168,436,109296.6743119266,0.19380970495414018,3.223421228921316,157,87264.96815286625,0.01145134943389766,3.223421228921316,157,87264.96815286625,0.01145134943389766,
Cassandra,2394.0420286324747,549,128082.24043715847,0.15467621822932695,502.8990103561057,908,117238.43612334802,0.18374408042934495,5.841533541878682,252,107154.16666666667,0.010529226379819878,5.841533541878682,252,107154.16666666667,0.010529226379819878,
ReactJS,1803.1073094250341,335,117436.11940298507,0.15078875517536358,372.5657493553122,764,108121.7277486911,0.1794869413802325,4.0240405017636345,180,107117.22222222222,0.01015803555304623,4.0240405017636345,180,107117.22222222222,0.01015803555304623,
Ruby,4800.205509680007,862,137856.72853828306,0.13793160761979886,900.0109601024546,2240,97006.69642857143,0.16542144984730872,9.085210478350922,603,81674.95854063018,0.008978586079234437,9.085210478350922,603,81674.95854063018,0.008978586079234437,
AngularJS,3195.3666535791835,480,106114.58333333333,0.12514147279794174,536.1181433058853,1409,105933.2860184528,0.1512406817417768,4.047321718708144,312,79830.44871794872,0.00790903969924089,4.047321718708144,312,79830.44871794872,0.00790903969924089,
Node.js,4888.246751341676,849,127558.89281507656,0.12514147279794174,836.9117616567365,2088,107534.72222222222,0.1512406817417768,7.68609421790956,506,93478.26086956522,0.00790903969924089,7.68609421790956,506,93478.26086956522,0.00790903969924089,
R,2181.1440200282686,337,115787.68545994065,0.12245643707125067,379.54907261789043,1060,95731.1320754717,0.14824616416091357,4.041091898120002,338,75618.04733727811,0.007695480825281868,4.041091898120002,338,75618.04733727811,0.007695480825281868,
Spark,5461.629939317579,945,130633.49206349206,0.12167336452136379,906.9857271034023,2184,114950.77838827838,0.14737163612990642,7.997802830446699,522,97686.30268199234,0.007633886705597454,7.997802830446699,522,97686.30268199234,0.007633886705597454,
Perl,3372.426141344958,646,118017.64705882352,0.11560031579757178,532.609981670798,1631,95387.79889638259,0.1405704243841545,4.467183335804506,359,84510.44568245126,0.007166516882265609,4.467183335804506,359,84510.44568245126,0.007166516882265609,
MongoDB,3810.1882007346144,855,111093.567251462,0.11396625761948286,632.1880957228407,1794,97515.32887402453,0.1387345726834655,7.403521384428537,576,88815.10416666667,0.007043819436503068,7.403521384428537,576,88815.10416666667,0.007043819436503068,
"Visual-Basic",700.0665660854663,76,108396.71052631579,0.11182870965240665,118.6668185965518,392,84755.22959183673,0.1363291723990525,1.504855872455072,123,86486.9918699187,0.006885225939718673,1.504855872455072,123,86486.9918699187,0.006885225939718673,
Azure,11506.87644323872,2243,121169.19304502898,0.10895973565496943,1715.9035751388033,5160,103079.45736434108,0.1330936122910996,13.73457352616455,997,100438.81644934804,0.006675712521937147,13.73457352616455,997,100438.81644934804,0.006675712521937147,
WordPress,1754.922088834914,88,96057.38636363637,0.10589937725932604,276.79679619865436,966,87797.61904761905,0.12963299859029415,3.0352973568010477,370,61842.97297297297,0.006456369136750908,3.0352973568010477,370,61842.97297297297,0.006456369136750908,
Hadoop,7600.185370074857,1238,128679.32148626818,0.09664480099287182,1024.6519335234666,3061,115842.0450833061,0.11912498800044492,8.289965949773451,666,104162.53753753754,0.0058162914235501,8.289965949773451,666,104162.53753753754,0.0058162914235501,
iOS,5745.054630044908,823,127676.18469015796,0.09434731450170773,801.3615772170477,2630,102576.04562737643,0.1164998542989466,8.608149720235978,863,85727.1147161066,0.005663175253381889,8.608149720235978,863,85727.1147161066,0.005663175253381889,
AWS,24695.664178768075,5000,121259.5,0.09223825579071185,3202.6529460788647,10976,104445.60860058309,0.11408481184328025,26.75695129824195,2281,103347.21613327488,0.005524484415076387,26.75695129824195,2281,103347.21613327488,0.005524484415076387,
Android,5845.205547514268,959,113375.91240875912,0.0903986780893038,767.8530430362289,2907,94517.54385964913,0.11197418446240275,7.393880277689403,855,77874.26900584795,0.0054049478598084885,7.393880277689403,855,77874.26900584795,0.0054049478598084885,
C#,24326.87332260408,3450,97910.14492753622,0.08983000509109249,3128.9944099395107,11957,96521.49368570712,0.1113209234755681,27.017780905962,2949,83065.4459138691,0.005368261888696042,27.017780905962,2949,83065.4459138691,0.005368261888696042,
PHP,9057.754976294913,898,108750.0,0.08913155516326265,1179.3418563608566,4223,102372.72081458679,0.11051806023412124,11.168838313445022,1673,61038.55349671249,0.005323374528283556,11.168838313445022,1673,61038.55349671249,0.005323374528283556,
C++,13067.222375204867,2129,121052.13715359324,0.08284682756875415,1655.272546048245,5492,111998.36125273125,0.10326719012852187,19.279635524963542,1707,111556.82483889865,0.004927746361586565,19.279635524963542,1707,111556.82483889865,0.004927746361586565,
C,11485.90229914119,2170,114103.6866359447,0.08251789312021279,1410.485414078856,5019,107393.40506076907,0.10288633113894871,14.63752623474406,1593,91133.08223477715,0.0049074405159115755,14.63752623474406,1593,91133.08223477715,0.0049074405159115755,
Python,29191.581025361967,4884,126064.70106470106,0.07762123292068318,3477.0729710980704,13037,105447.57229423948,0.09719995750230247,39.990610071707906,4037,104593.7577408967,0.004609700466341028,39.990610071707906,4037,104593.7577408967,0.004609700466341028,
Salesforce,5072.406663781439,810,108228.3950617284,0.07725957019942818,579.2904185671458,2791,86141.16804012899,0.09677869279617911,5.521542078815201,754,77685.67639257295,0.0045880409058488,5.521542078815201,754,77685.67639257295,0.0045880409058488,
JavaScript,30276.31762983964,4162,112275.9490629505,0.07487076569082136,3361.951358990381,13059,110346.31288766368,0.0939916589290602,31.85877630893766,4113,84795.16168247022,0.0044460925716171135,31.85877630893766,4113,84795.16168247022,0.0044460925716171135,
"SQL-Server",10565.194213652228,1410,97563.82978723405,0.06700193555859893,1012.5565019257949,5231,96915.02580768496,0.08475217311288814,7.059981277538577,978,88021.47239263804,0.003991675770928241,7.059981277538577,978,88021.47239263804,0.003991675770928241,
SQL,27896.079641977063,4288,108746.50186567164,0.055608548928925125,2353.9844756132625,14697,90686.19446145472,0.07120785363960765,22.503365714236025,3688,88240.91648590022,0.003365625178933561,22.503365714236025,3688,88240.91648590022,0.003365625178933561,
Java,29578.30895170185,5401,109583.41047954082,0.05536231131368439,2409.9029626450597,13164,106954.38316621087,0.07091253104756969,19.246368774896002,3718,75153.98063474987,0.0033524832861052288,19.246368774896002,3718,75153.98063474987,0.0033524832861052288,
SharePoint,3115.9675550050774,483,107725.1552795031,0.0355218100313453,163.09874604733494,1613,92994.42033477992,0.04669916144061808,1.0965335158652323,414,55214.49275362319,0.0023347891964666818,1.0965335158652323,414,55214.49275362319,0.0023347891964666818,
