Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (0.25 year),Jobs - Junior (0.25 year),Avg. Salary - Junior (0.25 year),Chance of Hire - Junior (0.25 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years),Impact Total (All),Impact Category (All),Log Jobs (Senior),Salary Category (Senior),Log Jobs (Mid),Salary Category (Mid),Log Jobs (Entry),Salary Category (Entry),Chance of Hire Category (Senior),Chance of Hire Category (Mid),Chance of Hire Category (Junior),Chance of Hire Category (New),ResumeRank (Senior),ResumeRank (Mid),ResumeRank (Junior),ResumeRank Total,ResumeRank (Final),Impact Category (Senior),Impact Category (Mid),Impact Category (Junior)
SharePoint,3407.9368898171700,532,102335.52631578900,0.03601432472591680,189.8921669979800,1796,91368.31848552340,0.04731167406105150,1.8173769313470000,516,72659.3992248062,0.002359297454874580,1.8173769313470000,516,72659.3992248062,0.002359297454874580,"3,601.46",1,1,3,1,2,1,2,1,1,1,1,24,34,41,99,33,1,1,1
Matlab,1050.686645815930,177,111079.09604519800,0.17962685445990000,279.0237824418690,478,99763.91213389120,0.2107799046444140,4.921523226462000,211,86289.57345971560,0.013156426804837600,4.921523226462000,211,86289.57345971560,0.013156426804837600,"1,339.55",1,1,3,1,3,1,2,2,3,1,1,32,32,36,100,34,1,1,2
Clojure,201.7578474300510,35,116035.71428571400,0.41302750387575800,113.40063468616500,74,110034.45945945900,0.4521044876677400,7.1444676222887300,30,115436.66666666700,0.10041163353990300,7.1444676222887300,30,115436.66666666700,0.10041163353990300,329.45,1,1,3,1,3,1,3,5,5,2,2,37,36,29,102,35,1,1,2
LAMP,844.288774231512,67,112807.46268656700,0.19495494608637000,224.95418396278700,426,93099.2957746479,0.2271691754930790,2.8859482848820000,121,77408.26446280990,0.014996676943305500,2.8859482848820000,121,77408.26446280990,0.014996676943305500,"1,075.01",1,1,3,1,2,1,2,2,3,1,1,33,33,39,105,36,1,1,1
GAE,51.32006081525310,6,138225.0,1.0,59.97698882314270,12,139041.66666666700,1.0,8.656928007889550,4,105337.5,1.0,8.656928007889550,4,105337.5,1.0,128.61,1,1,4,1,4,1,3,5,5,5,5,43,40,28,111,37,1,1,2
CoffeeScript,45.659188050786300,8,113443.75,0.5301471888184050,54.376249096384800,31,105946.7741935480,0.5301471888184050,8.717061045598490,9,88922.22222222220,0.5301471888184050,8.717061045598490,9,88922.22222222220,0.5301471888184050,117.47,1,1,3,1,3,1,2,5,5,5,5,44,42,27,113,39,1,1,2
Cordova,374.50218236458400,25,109544.0,0.33147236546010600,148.4327734632100,186,93118.27956989250,0.3702678870442080,1.7654954471679800,24,87997.91666666670,0.04068760832621990,1.7654954471679800,24,87997.91666666670,0.04068760832621990,526.47,1,1,3,1,2,1,2,4,4,1,1,35,35,43,113,39,1,1,1
Dart,161.42926764756100,37,115605.4054054050,0.3597478175859320,78.4083356788105,67,94302.98507462690,0.399953233551393,3.0495312610604700,34,88072.05882352940,0.04956729467459300,3.0495312610604700,34,88072.05882352940,0.04956729467459300,245.94,1,1,3,1,2,1,2,4,4,1,1,38,38,38,114,40,1,1,1
Raspberry-Pi,150.48686313196200,14,113260.71428571400,0.36435947552036,77.17266826758990,68,99216.91176470590,0.40478351571211900,2.7300747833539400,33,78496.9696969697,0.05129640204424130,2.7300747833539400,33,78496.9696969697,0.05129640204424130,233.12,1,1,3,1,3,1,2,4,5,1,1,39,39,40,118,41,1,1,1
F#,81.29707107312810,18,114402.77777777800,0.3836260179031120,53.31115197105900,41,102742.68292682900,0.40663673237432700,5.032579262899430,11,111595.45454545500,0.19954030213338900,5.032579262899430,11,111595.45454545500,0.19954030213338900,144.67,1,1,3,1,3,1,3,4,5,2,2,41,43,35,119,43,1,1,2
Visual-Basic,211.6921397749180,96,104930.20833333300,0.11975723242497700,57.4172626498885,5,1821500.0,0.14522940168479400,1.7932220927196000,145,80423.79310344830,0.007484464255890000,1.7932220927196000,145,80423.79310344830,0.007484464255890000,272.70,1,1,3,1,5,1,2,2,2,1,1,36,41,42,119,43,1,1,1
Arduino,52.748022360466000,7,107307.14285714300,0.28213043356443600,22.868147211756800,25,94890.0,0.3185513250637280,0.7127234117530510,14,84925.0,0.02917673064203250,0.7127234117530510,14,84925.0,0.02917673064203250,77.04,1,1,3,1,2,1,2,3,4,1,1,42,44,44,130,44,1,1,1
Windows-Phone,37.51516814135480,5,136200.0,0.3597478175859320,16.321158752247200,16,98809.375,0.399953233551393,0.36326130034572900,3,118900.0,0.04956729467459300,0.36326130034572900,3,118900.0,0.04956729467459300,54.56,1,1,4,1,3,1,3,4,4,1,1,45,45,45,135,45,1,1,1
