Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (0.25 year),Jobs - Junior (0.25 year),Avg. Salary - Junior (0.25 year),Chance of Hire - Junior (0.25 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years),Impact Total (All),Impact Category (All),Log Jobs (Senior),Salary Category (Senior),Log Jobs (Mid),Salary Category (Mid),Log Jobs (Entry),Salary Category (Entry),Chance of Hire Category (Senior),Chance of Hire Category (Mid),Chance of Hire Category (Junior),Chance of Hire Category (New),ResumeRank (Senior),ResumeRank (Mid),ResumeRank (Junior),ResumeRank Total,ResumeRank (Final),Impact Category (Senior),Impact Category (Mid),Impact Category (Junior)
iOS,5745.054630044910,823,127676.18469015800,0.09434731450170770,801.3615772170480,2630,102576.04562737600,0.1164998542989470,8.608149720235980,863,85727.1147161066,0.005663175253381890,8.608149720235980,863,85727.1147161066,0.005663175253381890,"6,563.63",2,1,4,2,3,1,2,1,2,1,1,14,18,19,51,16,2,2,1
Scala,3881.7534677296900,699,127156.08011444900,0.16574479187234400,860.5045128207930,1582,110549.93678887500,0.19579661018807000,9.531021007716250,342,116520.4678362570,0.011641000112611400,9.531021007716250,342,116520.4678362570,0.011641000112611400,"4,761.32",1,1,4,1,3,1,3,2,2,1,1,20,16,16,52,17,2,2,1
Node.js,4888.246751341680,849,127558.89281507700,0.12514147279794200,836.9117616567370,2088,107534.72222222200,0.1512406817417770,7.68609421790956,506,93478.26086956520,0.00790903969924089,7.68609421790956,506,93478.26086956520,0.00790903969924089,"5,740.53",2,1,4,2,3,1,2,2,2,1,1,17,17,23,57,19,2,2,1
Android,5845.205547514270,959,113375.91240875900,0.0903986780893038,767.8530430362290,2907,94517.54385964910,0.11197418446240300,7.393880277689400,855,77874.26900584800,0.0054049478598084900,7.393880277689400,855,77874.26900584800,0.0054049478598084900,"6,627.85",2,1,3,2,2,1,2,1,2,1,1,13,19,25,57,19,2,2,1
Go,2653.245506941150,454,111172.79735682800,0.20065298050682600,709.5437615028830,1047,113797.61222540600,0.23322427624416700,9.58731061487926,282,105212.23404255300,0.015727534256068100,9.58731061487926,282,105212.23404255300,0.015727534256068100,"3,381.96",1,1,3,1,3,1,3,3,3,1,1,25,20,15,60,20,1,2,1
Swift,2536.334235772720,412,134308.98058252400,0.17841718620825800,629.1896076848950,1113,102228.2120395330,0.2094798064270450,9.098406103037870,391,86995.5242966752,0.0130187966234868,9.098406103037870,391,86995.5242966752,0.0130187966234868,"3,183.72",1,1,4,1,3,1,2,2,3,1,1,26,22,17,65,21,1,2,1
MongoDB,3810.1882007346100,855,111093.567251462,0.11396625761948300,632.1880957228410,1794,97515.32887402450,0.1387345726834660,7.403521384428540,576,88815.10416666670,0.007043819436503070,7.403521384428540,576,88815.10416666670,0.007043819436503070,"4,457.18",1,1,3,1,3,1,2,2,2,1,1,21,21,24,66,22,2,2,1
Salesforce,5072.406663781440,810,108228.3950617280,0.07725957019942820,579.2904185671460,2791,86141.16804012900,0.09677869279617910,5.521542078815200,754,77685.67639257300,0.0045880409058488,5.521542078815200,754,77685.67639257300,0.0045880409058488,"5,662.74",2,1,3,2,2,1,2,1,1,1,1,16,23,29,68,23,2,2,1
Rust,344.15386905272500,68,128998.5294117650,0.3836260179031120,246.37799838829200,160,111279.375,0.40663673237432700,32.074160313027500,73,107171.91780821900,0.19954030213338900,32.074160313027500,73,107171.91780821900,0.19954030213338900,654.68,1,1,4,1,3,1,3,4,5,2,2,35,31,4,70,24,1,1,3
Perl,3372.426141344960,646,118017.64705882400,0.11560031579757200,532.609981670798,1631,95387.79889638260,0.1405704243841550,4.467183335804510,359,84510.44568245130,0.007166516882265610,4.467183335804510,359,84510.44568245130,0.007166516882265610,"3,913.97",1,1,3,1,3,1,2,2,2,1,1,22,25,30,77,25,2,2,1
AngularJS,3195.3666535791800,480,106114.58333333300,0.12514147279794200,536.1181433058850,1409,105933.2860184530,0.1512406817417770,4.047321718708140,312,79830.44871794870,0.00790903969924089,4.047321718708140,312,79830.44871794870,0.00790903969924089,"3,739.58",1,1,3,1,3,1,2,2,2,1,1,23,24,31,78,26,2,2,1
CoffeeScript,96.51955950032870,8,116725.0,1.0,96.51955950032870,31,106975.80645161300,1.0,96.51955950032870,5,89550.0,1.0,96.51955950032870,5,89550.0,1.0,386.08,1,1,3,1,3,1,2,5,5,5,5,41,37,1,79,27,1,1,5
Redis,1455.6751892520800,276,119424.81884058000,0.22530236623988400,445.3069584621200,612,103947.22222222200,0.25922540749907400,7.964488047782100,188,107433.77659574500,0.019192801219041400,7.964488047782100,188,107433.77659574500,0.019192801219041400,"1,916.91",1,1,3,1,3,1,3,3,3,1,1,31,27,22,80,28,1,2,1
Cassandra,2394.0420286324700,549,128082.24043715800,0.15467621822932700,502.8990103561060,908,117238.43612334800,0.18374408042934500,5.841533541878680,252,107154.16666666700,0.010529226379819900,5.841533541878680,252,107154.16666666700,0.010529226379819900,"2,908.62",1,1,4,1,3,1,3,2,2,1,1,27,26,28,81,29,1,2,1
GAE,56.08563445101910,4,129700.0,1.0,56.08563445101910,14,141514.2857142860,1.0,56.08563445101910,2,114900.0,1.0,56.08563445101910,2,114900.0,1.0,224.34,1,1,4,1,4,1,3,5,5,5,5,43,42,2,87,30,1,1,4
R,2181.1440200282700,337,115787.68545994100,0.12245643707125100,379.54907261789000,1060,95731.1320754717,0.14824616416091400,4.041091898120000,338,75618.04733727810,0.007695480825281870,4.041091898120000,338,75618.04733727810,0.007695480825281870,"2,568.78",1,1,3,1,3,1,2,2,2,1,1,28,28,32,88,31,1,2,1
ReactJS,1803.1073094250300,335,117436.11940298500,0.15078875517536400,372.5657493553120,764,108121.7277486910,0.1794869413802330,4.0240405017636300,180,107117.22222222200,0.01015803555304620,4.0240405017636300,180,107117.22222222200,0.01015803555304620,"2,183.72",1,1,3,1,3,1,3,2,2,1,1,29,29,33,91,32,1,2,1
WordPress,1754.922088834910,88,96057.38636363640,0.10589937725932600,276.79679619865400,966,87797.61904761910,0.12963299859029400,3.0352973568010500,370,61842.97297297300,0.006456369136750910,3.0352973568010500,370,61842.97297297300,0.006456369136750910,"2,037.79",1,1,3,1,2,1,1,2,2,1,1,30,30,36,96,33,1,1,1
Matlab,1028.895398549040,155,103713.54838709700,0.16391389332734700,239.67553631362200,436,109296.6743119270,0.19380970495414000,3.223421228921320,157,87264.96815286630,0.01145134943389770,3.223421228921320,157,87264.96815286630,0.01145134943389770,"1,275.02",1,1,3,1,3,1,2,2,2,1,1,32,32,35,99,34,1,1,1
SharePoint,3115.9675550050800,483,107725.1552795030,0.0355218100313453,163.09874604733500,1613,92994.42033477990,0.04669916144061810,1.0965335158652300,414,55214.49275362320,0.0023347891964666800,1.0965335158652300,414,55214.49275362320,0.0023347891964666800,"3,281.26",1,1,3,1,2,1,1,1,1,1,1,24,34,42,100,35,2,1,1
Haskell,135.1290571313810,17,125579.41176470600,0.4121607928887580,83.5511563932948,49,116267.3469387760,0.44982397323493600,7.002823024417050,28,109808.92857142900,0.11085535011933900,7.002823024417050,28,109808.92857142900,0.11085535011933900,232.69,1,1,4,1,3,1,3,5,5,2,2,39,39,27,105,37,1,1,1
LAMP,722.0410551842540,58,114696.55172413800,0.18486872656634300,175.3712421936490,319,106447.02194357400,0.21640202226606100,1.6764392765402200,98,60485.204081632700,0.013765493748305000,1.6764392765402200,98,60485.204081632700,0.013765493748305000,900.77,1,1,3,1,3,1,1,2,3,1,1,33,33,39,105,37,1,1,1
Clojure,185.3719148186590,20,111962.5,0.41302750387575800,93.48578617074070,72,112465.97222222200,0.4521044876677400,3.318378380771970,15,107233.33333333300,0.10041163353990300,3.318378380771970,15,107233.33333333300,0.10041163353990300,285.49,1,1,3,1,3,1,3,5,5,2,2,37,38,34,109,39,1,1,1
Visual-Basic,700.0665660854660,76,108396.71052631600,0.11182870965240700,118.6668185965520,392,84755.22959183670,0.1363291723990530,1.504855872455070,123,86486.9918699187,0.006885225939718670,1.504855872455070,123,86486.9918699187,0.006885225939718670,821.74,1,1,3,1,2,1,2,2,2,1,1,34,35,40,109,39,1,1,1
Cordova,289.27424771494300,28,112037.5,0.28806002097663100,101.17180705829200,136,97387.86764705880,0.3247550019410600,1.1434974654133400,18,101755.55555555600,0.03038671578761620,1.1434974654133400,18,101755.55555555600,0.03038671578761620,392.73,1,1,3,1,3,1,3,3,4,1,1,36,36,41,113,40,1,1,1
Dart,163.63433235405600,20,114037.5,0.3388403921239030,72.93819671128250,84,85614.28571428570,0.37800701018663600,1.903803584215370,21,103154.76190476200,0.04277526972922360,1.903803584215370,21,103154.76190476200,0.04277526972922360,240.38,1,1,3,1,2,1,3,4,4,1,1,38,40,37,115,41,1,1,1
Raspberry-Pi,121.8157381431510,11,134004.54545454500,0.35094847997247100,58.47406485097200,51,106111.76470588200,0.3907227715813420,1.805836687254200,21,89959.52380952380,0.04652551848293480,1.805836687254200,21,89959.52380952380,0.04652551848293480,183.90,1,1,4,1,3,1,2,4,4,1,1,40,41,38,119,42,1,1,1
F#,83.82508084266810,10,124480.0,0.40077469053208500,38.48881253259870,32,111907.8125,0.4415873692150830,0.7597169424464720,4,124462.5,0.07427326106810230,0.7597169424464720,4,124462.5,0.07427326106810230,123.83,1,1,4,1,3,1,4,5,5,1,1,42,43,43,128,43,1,1,1
Windows-Phone,42.41855402577380,3,155900.0,0.3427322248074930,19.54775772305450,18,105794.44444444400,0.38209495945385800,0.5353128676170320,5,118610.0,0.04393347591713370,0.5353128676170320,5,118610.0,0.04393347591713370,63.04,1,1,5,1,3,1,3,4,4,1,1,45,44,44,133,44,1,1,1
Arduino,46.71517282514420,4,101100.0,0.27328795595090300,18.812354552774300,22,99281.81818181820,0.30930168037067400,0.4723639832433660,9,93088.88888888890,0.02744199068085590,0.4723639832433660,9,93088.88888888890,0.02744199068085590,66.47,1,1,3,1,3,1,2,3,4,1,1,44,45,45,134,45,1,1,1
