Stack,Impact - Senior (7.5 years),Jobs - Senior,Avg. Salary - Senior (7.5 years),Chance of Hire - Senior (7.5 years),Impact - Mid (3.5 years),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Mid (3.5 years),Impact - Junior (1 year),Jobs - Mid,Avg. Salary - Mid,Chance of Hire - Junior (1 year),Impact - New (0 years),Jobs - Entry Level,Avg. Salary - New (0 years),Chance of Hire - New (0 years)
Objective-C,69954.96394212994,833,117332.7731092437,0.52475,87009.16505715302,1853,103374.25796006476,0.52475,9209.327516666668,610,86311.14754098361,0.52475,1611.0838800000001,610,86311.14754098361,0.0918,
Redis,30647.581571531086,336,123447.91666666667,0.52475,37712.333242089204,723,109381.05117565699,0.52475,3678.39255,213,98729.57746478873,0.52475,643.49964,213,98729.57746478873,0.0918,
Go,41811.697136688796,431,126104.40835266821,0.52475,61838.547212206075,1091,114477.5435380385,0.52475,5270.798900000001,275,109575.27272727272,0.52475,922.0759199999999,275,109575.27272727272,0.0918,
Swift,28614.949108353914,364,115862.08791208791,0.38565,48296.661003333335,1134,102244.26807760142,0.38565,5488.23657,486,87846.50205761316,0.38565,324.46984000000003,486,87846.50205761316,0.0228,
Cassandra,53380.71868783103,586,125384.47098976109,0.38565,54166.90398095744,1053,113886.51471984806,0.38565,3979.88229,282,109786.52482269504,0.38565,235.29448,282,109786.52482269504,0.0228,
Matlab,12986.019739172878,172,111018.6046511628,0.38565,19010.16928891705,467,99306.42398286938,0.38565,2325.26382,217,83356.68202764977,0.38565,137.47184,217,83356.68202764977,0.0228,
Scala,71491.58703917044,772,128226.61917098446,0.38565,90532.1310268868,1755,118736.46723646723,0.38565,5906.088344999999,424,108358.25471698113,0.38565,349.17364000000003,424,108358.25471698113,0.0228,
LAMP,5445.579754746446,78,111209.61538461539,0.38565,15607.369939333334,422,89691.94312796209,0.38565,1171.4183025,120,75937.91666666667,0.38565,69.25538,120,75937.91666666667,0.0228,
ReactJS,20157.10888116723,247,119415.38461538461,0.38565,39539.51958923077,891,105881.03254769921,0.38565,2147.3570475,182,91782.69230769231,0.38565,126.95382000000002,182,91782.69230769231,0.0228,
Node.js,77130.4356159202,925,121229.72972972973,0.38565,113821.49992826086,2490,106889.55823293173,0.38565,7050.003375,575,95378.26086956522,0.38565,416.803,575,95378.26086956522,0.0228,
AngularJS,38586.164977483066,485,113613.40206185567,0.38565,74115.48848210595,1690,102099.1124260355,0.38565,4560.87687,387,91678.0361757106,0.38565,269.64344000000006,387,91678.0361757106,0.0228,
Ruby,73952.39659798409,873,123782.93241695303,0.38565,114132.91640254238,2483,110489.3274265002,0.38565,8624.098125,708,94756.35593220338,0.38565,509.8649999999999,708,94756.35593220338,0.0228,
R,27524.438524952475,361,112311.91135734072,0.38565,46683.4083170801,1138,100580.4920913884,0.38565,4169.3907,387,83808.78552971577,0.38565,246.4984,387,83808.78552971577,0.0228,
MongoDB,68749.64722393258,843,122746.1447212337,0.38565,86050.72875442478,1986,108617.8247734139,0.38565,7635.548625,678,87606.93215339234,0.38565,451.42100000000005,678,87606.93215339234,0.0228,
Perl,54612.32353739052,676,117144.08284023669,0.2849625,76653.62487954834,1784,109481.50224215246,0.2849625,3588.437775,393,96127.22646310432,0.2849625,103.25986666666667,393,96127.22646310432,0.0082,
Spark,93605.68779337467,1067,124353.32708528585,0.2849625,109023.90976977847,2305,117373.10195227766,0.2849625,5604.7374375,553,106699.81916817359,0.2849625,161.28033333333332,553,106699.81916817359,0.0082,
"Visual-Basic",4697.241871506782,68,103488.9705882353,0.2849625,184.26374813468993,5,91850.0,0.2849625,1017.311375625,129,83022.86821705426,0.2849625,29.273863333333335,129,83022.86821705426,0.0082,
Azure,181085.10747739364,2217,118571.26747857465,0.2849625,233577.4324652778,5317,108637.38950536016,0.2849625,9498.75,1008,99206.3492063492,0.2849625,273.3333333333333,1008,99206.3492063492,0.0082,
WordPress,6263.006277512087,113,103117.69911504425,0.2849625,30640.76266272936,1110,73932.43243243243,0.2849625,2515.8769199999997,436,60748.62385321101,0.2849625,72.39616000000001,436,60748.62385321101,0.0082,
AWS,438055.2473838162,5037,125772.28509033154,0.2849625,524142.43535969954,11140,114720.1526032316,0.2849625,23911.203375000005,2359,106710.47053836372,0.2849625,688.062,2359,106710.47053836372,0.0082,
Hadoop,110198.5578844729,1296,123746.14197530864,0.2849625,152761.14191779442,3341,113005.83657587548,0.2849625,7955.654315625001,811,103273.42786683107,0.2849625,228.92965000000007,811,103273.42786683107,0.0082,
C#,293071.3543025285,3846,113383.38533541342,0.2849625,495148.4603690863,12228,102285.94210009814,0.2849625,28863.3766875,3345,90841.55455904335,0.2849625,830.5643333333334,3345,90841.55455904335,0.0082,
C,158650.15927172292,2140,115754.67289719626,0.2849625,206565.23592839803,5364,101023.4899328859,0.2849625,15029.15971875,1854,85341.15426105718,0.2849625,432.4748333333334,1854,85341.15426105718,0.0082,
C++,165777.46648162205,2102,118981.92197906756,0.2849625,231782.71598943876,5578,106687.43277160272,0.2849625,16498.8538125,1873,92736.25200213562,0.2849625,474.76633333333336,1873,92736.25200213562,0.0082,
iOS,62900.519734820045,836,115753.94736842105,0.2849625,114239.9326144663,2903,102096.10747502584,0.2849625,8139.478875,979,87528.08988764045,0.2849625,234.21933333333337,979,87528.08988764045,0.0082,
PHP,65456.07279725107,1032,114212.69379844962,0.20829374999999997,153766.19231229764,4929,91205.11259890444,0.20829374999999997,9524.231718749998,1853,74028.60226659471,0.20829374999999997,173.75499999999997,1853,74028.60226659471,0.0038,
Android,74193.16092250744,1004,116703.03784860557,0.20829374999999997,124100.61593534044,3242,103273.44231955583,0.20829374999999997,6591.6292968749985,1025,92621.9512195122,0.20829374999999997,120.25416666666666,1025,92621.9512195122,0.0038,
JavaScript,323045.7534060424,4533,118039.92940657401,0.20829374999999997,512757.689009485,14171,100910.30978759438,0.20829374999999997,27449.818265624996,4551,86871.56668863985,0.20829374999999997,500.77983333333333,4551,86871.56668863985,0.0038,
Python,402070.5322133986,5147,122920.14765883039,0.20829374999999997,548616.9608198843,13560,109311.57817109145,0.20829374999999997,30250.154156249995,4452,97862.75831087152,0.20829374999999997,551.8676666666667,4452,97862.75831087152,0.0038,
Salesforce,63637.210139775365,943,114604.98409331919,0.20829374999999997,105664.44542881947,3204,99640.29338327091,0.20829374999999997,4654.671,864,77592.5925925926,0.20829374999999997,84.91733333333333,864,77592.5925925926,0.0038,
"SQL-Server",116269.19569313848,1712,107235.68925233645,0.20829374999999997,199614.84497788025,5729,96180.39797521383,0.20829374999999997,6293.9428124999995,1081,83857.53931544865,0.20829374999999997,114.82333333333332,1081,83857.53931544865,0.0038,
SQL,324593.874656344,4906,111050.24459845088,0.1521328125,525658.3404365809,15946,98209.26878213973,0.1521328125,17509.979609375,4089,84443.62924920519,0.1521328125,241.703,4089,84443.62924920519,0.0021,
Java,408469.5600974837,5587,120097.54787900484,0.1521328125,506943.3762708938,13816,108048.2773595831,0.1521328125,19100.274609375,3999,94186.04651162791,0.1521328125,263.655,3999,94186.04651162791,0.0021,
SharePoint,29594.979054069237,493,102114.60446247464,0.11474765625000002,50208.25262953616,1728,91464.12037037036,0.11474765625000002,1304.5641914453126,446,76472.98206278027,0.11474765625000002,14.779678333333331,446,76472.98206278027,0.0013,
